Frequency (Hz) - Plot 0,gain 0,gain 20,gain 40,gain 60
209,-129.19174,-124.484358,-114.43825,-111.50557
210,-128.36534,-125.885673,-116.312879,-112.703039
211,-124.328143,-127.346831,-112.086949,-110.838396
212,-125.272424,-126.277854,-112.82187,-108.895428
213,-126.859436,-127.010359,-112.720704,-110.987329
214,-127.161851,-126.442092,-109.480419,-110.003665
215,-125.93471,-123.776309,-112.051264,-109.030345
216,-127.56134,-123.93218,-113.874725,-111.288669
217,-127.562705,-127.534041,-114.127453,-110.028735
218,-125.720851,-123.467166,-114.01827,-109.500197
219,-125.756282,-125.936276,-113.864257,-113.047813
220,-127.927172,-125.03315,-111.578249,-109.938313
221,-128.420121,-127.967028,-115.786221,-111.151559
222,-127.54393,-126.993446,-113.56241,-113.773916
223,-129.009577,-126.615573,-113.979942,-110.220329
224,-128.794131,-124.48149,-115.504173,-111.700588
225,-126.564516,-122.401974,-112.962391,-111.236564
226,-127.806062,-124.889027,-113.415456,-108.915831
227,-124.930715,-126.275785,-114.155076,-110.455147
228,-125.956062,-126.702465,-112.184944,-109.72227
229,-124.474307,-124.786724,-116.07201,-111.428853
230,-128.79373,-127.747521,-114.096484,-112.453839
231,-126.522833,-126.356967,-115.473573,-111.823697
232,-129.206361,-126.965878,-111.488638,-110.979113
233,-125.964787,-123.689593,-114.165816,-110.578635
234,-128.630997,-124.845527,-113.28901,-110.695968
235,-126.917685,-123.398275,-112.332783,-112.889783
236,-122.836837,-127.058333,-111.694178,-109.992219
237,-127.46556,-124.959837,-113.688598,-112.627257
238,-129.494219,-125.798986,-111.304866,-110.386746
239,-124.945022,-125.31205,-115.251163,-106.716484
240,-125.802962,-124.315778,-113.460405,-108.286437
241,-128.299559,-128.742884,-114.012603,-110.023684
242,-128.783953,-126.337765,-112.127819,-109.689419
243,-128.384822,-127.190178,-109.817194,-111.968392
244,-126.556635,-127.239916,-114.963405,-111.021218
245,-128.987488,-126.911261,-113.612244,-111.86472
246,-127.105477,-126.140176,-112.626571,-112.349587
247,-127.316046,-122.631258,-114.055625,-110.470335
248,-130.815419,-128.52195,-112.627892,-111.032434
249,-126.701377,-124.825248,-111.656171,-106.591325
250,-126.516328,-124.105942,-112.781015,-101.976508
251,-125.795961,-124.654856,-114.115369,-108.491735
252,-128.141299,-125.524601,-114.051492,-111.267905
253,-126.004734,-123.973502,-113.908407,-111.406399
254,-129.466992,-127.490034,-113.947207,-111.998648
255,-129.371104,-125.339288,-114.098625,-111.147889
256,-123.644877,-128.109204,-113.412597,-111.133733
257,-126.000195,-126.570932,-111.729519,-112.842372
258,-127.90184,-126.79996,-109.795417,-111.632165
259,-125.453336,-125.450255,-111.078691,-110.060447
260,-127.042445,-124.760809,-111.681993,-113.886477
261,-128.237985,-126.870945,-112.229697,-109.966583
262,-124.991729,-126.77865,-114.158285,-111.455227
263,-127.853146,-127.437795,-113.240253,-109.506062
264,-128.171772,-124.502766,-114.330284,-109.745928
265,-128.707546,-127.194883,-115.780618,-112.78163
266,-126.56021,-124.842675,-114.150543,-111.185277
267,-127.42651,-125.69964,-114.446899,-111.460522
268,-125.888853,-125.202464,-110.985036,-112.975363
269,-128.22239,-129.514987,-111.203479,-111.396635
270,-123.972845,-125.582867,-112.840159,-112.17299
271,-127.20801,-127.454586,-111.098543,-110.164956
272,-127.602647,-130.514651,-113.88978,-110.100505
273,-126.562161,-124.350023,-111.323296,-112.02548
274,-127.232058,-126.261568,-113.897767,-111.693472
275,-126.936822,-125.093303,-109.231677,-112.778672
276,-125.320619,-125.768802,-115.330314,-113.077833
277,-125.165304,-127.015354,-112.134388,-112.346207
278,-129.437253,-123.55191,-113.243276,-109.709052
279,-128.567491,-124.353552,-112.12985,-111.045528
280,-128.002067,-125.6016,-115.05875,-108.954843
281,-128.148903,-126.131317,-114.712953,-109.936821
